,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country,author_id,citation,google_scholar_link
491,Yu-Gang Jiang,Safety at Scale: A Comprehensive Survey of Large Model Safety,Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,Fudan University. IEEE & IAPR Fellow,51.6090791,-3.9831441,Swansea,Swansea,Wales,United Kingdom,f3_FP8AAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=f3_FP8AAAAAJ&hl=en
492,Xiaoqiang Zhu,Exploring the Role of Large Language Models in Cybersecurity: A Systematic Survey,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,"Lecturer, PhD, Beijing Jiaotong University",48.7672864,2.1252169,Yvelines,,Ile-de-France,France,2fHc1o4AAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=2fHc1o4AAAAJ&hl=en
493,Yuheng HUANG,Luna: A model-based universal analysis framework for large language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,The University of Tokyo,35.9019845,139.9362233,,Kashiwa,,Japan,QQaSk3kAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=QQaSk3kAAAAJ&hl=en
494,"Rui Zhang, PhD, FACMI, FAMIA",Enhancing llm capabilities beyond scaling up,From shortcuts to triggers: Backdoor defense with denoised poe,"Division Chief and Professor, University of Minnesota",34.0708777,-118.4468503,Los Angeles County,Los Angeles,California,United States,YpoTIgsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=YpoTIgsAAAAJ&hl=en
495,Xiaobao Wu,A survey of backdoor attacks and defenses on large language models: Implications for security measures,From shortcuts to triggers: Backdoor defense with denoised poe,"Research Scientist, Nanyang Technological University",37.3555833,-121.931328,Santa Clara County,San Jose,California,United States,Y1oag4sAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=Y1oag4sAAAAJ&hl=en
496,Shuai Zhao,Unlearning backdoor attacks for llms with weak-to-strong knowledge distillation,From shortcuts to triggers: Backdoor defense with denoised poe,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,upbsFBAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=upbsFBAAAAAJ&hl=en
497,Yiyang Wang,Agentreview: Exploring peer review dynamics with llm agents,Llms assist nlp researchers: Critique paper (meta-) reviewing,Georgia Institute of Technology,33.7760948,-84.3988077,Fulton County,Atlanta,Georgia,United States,wdYlNXwAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=wdYlNXwAAAAJ&hl=en
498,Di Liang（梁迪）,Dabert: Dual attention enhanced bert for semantic matching,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,ByteDance Inc.,22.3358031,114.2659088,,Sai Kung District,Hong Kong,China,zo35veoAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=zo35veoAAAAJ&hl=en
499,Alex Robey,Steering dialogue dynamics for robustness against multi-turn jailbreaking attacks,Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,Carnegie Mellon University,40.4441897,-79.9427192,Allegheny County,Pittsburgh,Pennsylvania,United States,V5NWZc8AAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=V5NWZc8AAAAJ&hl=en
500,Bozhong Tian,Easyedit: An easy-to-use knowledge editing framework for large language models,Secrets of rlhf in large language models part i: Ppo,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China,Sj9kUscAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=Sj9kUscAAAAJ&hl=en
501,Huang Xuanjing (黄萱菁),Efficient adversarial training with robust early-bird tickets,Plugat: A plug and play module to defend against textual adversarial attack,Fudan University,31.3011648,121.4980876,,Yangpu District,,China,RGsMgZA4H78C,"Proceedings of the 29th International Conference on Computational …, 2022",https://scholar.google.com/citations?user=RGsMgZA4H78C&hl=en
502,Renren Jin,Do Large Language Models Mirror Cognitive Language Processing?,Secrets of rlhf in large language models part i: Ppo,"College of Intelligence and Computing, Tianjin University",22.6910685,114.207366,,Longgang District,Guangdong Province,China,qW3oQDUAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=qW3oQDUAAAAJ&hl=en
503,Weiyun Wang,Enhancing the reasoning ability of multimodal large language models via mixed preference optimization,Secrets of rlhf in large language models part i: Ppo,Fudan University,31.3011648,121.4980876,,Yangpu District,,China,GJYzDkYAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=GJYzDkYAAAAJ&hl=en
504,Huan Sun,Combating security and privacy issues in the era of large language models,Two heads are better than one: Nested poe for robust defense against multi-backdoors,The Ohio State University,40.0056802,-83.0286612,Franklin County,Columbus,Ohio,United States,wIFkulcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=wIFkulcAAAAJ&hl=en
505,Qin Liu,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,UC Davis,38.5337904,-121.7907544,Solano County,,California,United States,dApKnRkAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=dApKnRkAAAAJ&hl=en
506,Xuanang Chen,Towards Robust Dense Retrieval via Local Ranking Alignment.,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China,kFEZBOkAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=kFEZBOkAAAAJ&hl=en
507,"Rui Zhang, PhD, FACMI, FAMIA",Enhancing llm capabilities beyond scaling up,Two heads are better than one: Nested poe for robust defense against multi-backdoors,University of Minnesota,44.9863392,-93.1794558,Ramsey County,,Minnesota,United States,YpoTIgsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=YpoTIgsAAAAJ&hl=en
508,Huaxiu Yao,Fine-tuning language models for factuality,Secrets of rlhf in large language models part i: Ppo,"Assistant Professor of Computer Science and Data Science, UNC Chapel Hill",40.8089983,-73.9598785,New York County,New York,New York,United States,A20BZnQAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=A20BZnQAAAAJ&hl=en
509,Xinbo Zhang,Reft: Reasoning with reinforced fine-tuning,Secrets of rlhf in large language models part i: Ppo,ByteDance,37.3555833,-121.931328,Santa Clara County,San Jose,California,United States,Z-Hv6ggAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=Z-Hv6ggAAAAJ&hl=en
510,Zhengzhong Tu,DecAlign: Hierarchical Cross-Modal Alignment for Decoupled Multimodal Representation Learning,Unraveling cross-modality knowledge conflicts in large vision-language models,"Texas A&M University, Google Research, University of Texas at Austin",33.8004546,-84.3172378,DeKalb County,,Georgia,United States,9ajdZaEAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=9ajdZaEAAAAJ&hl=en
511,Yupeng Chang,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,"College of Artificial Intelligence, Jilin University",38.9784587,-76.9282678,Prince George's County,College Park,Maryland,United States,Hw-lrpAAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=Hw-lrpAAAAAJ&hl=en
512,Muhao Chen,Combating security and privacy issues in the era of large language models,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Davis,40.7474784,-92.3965311,Davis County,,Iowa,United States,k79yEZkAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
513,Siyi Liu,"Conflicts in Texts: Data, Implications and Challenges",Unraveling cross-modality knowledge conflicts in large vision-language models,University of Pennsylvania,39.9503945,-75.1946713,Philadelphia County,Philadelphia,Pennsylvania,United States,Z4vfzqkAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=Z4vfzqkAAAAJ&hl=en
514,Nagarajan Natarajan,Provably robust dpo: Aligning language models with noisy feedback,Secrets of rlhf in large language models part i: Ppo,"Researcher, Microsoft Research India",40.0022905,116.320963,,Haidian District,Beijing,China,ZBkUp20AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=ZBkUp20AAAAJ&hl=en
515,Jiashu Xu 徐家澍,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,NVIDIA; Harvard University; University of Southern California,-15.9023955,35.2171321,,,Thyolo,Malawi,0uYehJsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=0uYehJsAAAAJ&hl=en
516,Robin Jia,Rethinking backdoor detection evaluation for language models,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,University of Southern California,34.0218689,-118.2858579,Los Angeles County,Los Angeles,California,United States,ajZ-_O0AAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=ajZ-_O0AAAAJ&hl=en
517,Karthik Narasimhan,Cognitive architectures for language agents,The rise and potential of large language model based agents: A survey,"Associate Professor, Princeton University",48.8563148,2.2935301,,Paris,,France,euc0GX4AAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=euc0GX4AAAAJ&hl=en
518,Philip Torr,Benchmarking robustness of adaptation methods on pre-trained vision-language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,University of Oxford,51.7587075,-1.2556685,Oxfordshire,Oxford,England,United Kingdom,kPxa2w0AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=kPxa2w0AAAAJ&hl=en
519,Fei Wang,Unraveling cross-modality knowledge conflicts in large vision-language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,University of Southern California,34.0218689,-118.2858579,Los Angeles County,Los Angeles,California,United States,N1O2KT8AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=N1O2KT8AAAAJ&hl=en
520,Leon Derczynski,Combating security and privacy issues in the era of large language models,From shortcuts to triggers: Backdoor defense with denoised poe,ITU Copenhagen & NVIDIA,40.7039393,-74.0112193,New York County,New York,New York,United States,d8iwqa8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=d8iwqa8AAAAJ&hl=en
521,Yong Kiam Tan,I can find you in seconds! leveraging large language models for code authorship attribution,Llms assist nlp researchers: Critique paper (meta-) reviewing,Institute for Infocomm Research,3.0394855,101.7941135,,Kajang Municipal Council,Selangor,Malaysia,WzG0S8MAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=WzG0S8MAAAAJ&hl=en
522,Qiguang Chen,Towards reasoning era: A survey of long chain-of-thought for reasoning large language models,Metascale: Test-time scaling with evolving meta-thoughts,Harbin Institute of Technology,45.741589,126.6255626,,Harbin,Heilongjiang,China,8j8AfF0AAAAJ,"arXiv preprint arXiv:2503.13447, 2025",https://scholar.google.com/citations?user=8j8AfF0AAAAJ&hl=en
523,Shengyao Zhuang,Bridging the gap between indexing and retrieval for differentiable search index with query generation,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,CSIRO,-34.9204601,138.6087588,Adelaide City Council,Adelaide,South Australia,Australia,-7sbXNIAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=-7sbXNIAAAAJ&hl=en
524,Lei Li,Combating security and privacy issues in the era of large language models,From shortcuts to triggers: Backdoor defense with denoised poe,University of Western Ontario,-29.7451544,147.7685722,Walgett Shire Council,,New South Wales,Australia,1B0l7U8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=1B0l7U8AAAAJ&hl=en
525,Haotian Zhang,"Mm1. 5: Methods, analysis & insights from multimodal llm fine-tuning",Muirbench: A comprehensive benchmark for robust multi-image understanding,"Research Scientist, Apple",43.0802745,-89.4309587,Dane County,Madison,Wisconsin,United States,1vz0kKUAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=1vz0kKUAAAAJ&hl=en
526,Qi Zhang (张奇),Efficient adversarial training with robust early-bird tickets,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,Fudan University,31.3011648,121.4980876,,Yangpu District,,China,XfqR3yYAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=XfqR3yYAAAAJ&hl=en
527,Tao Gui （桂韬）,Detecting adversarial samples through sharpness of loss landscape,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,复旦大学,31.3011648,121.4980876,,Yangpu District,,China,BrOLQdwAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=BrOLQdwAAAAJ&hl=en
528,YunSeok Choi,Q-FAKER: Query-free Hard Black-box Attack via Controlled Generation,Detecting adversarial samples through sharpness of loss landscape,Sungykyunkwan University,42.3657432,-71.1222139,Suffolk County,Boston,Massachusetts,United States,T4GmR6QAAAAJ,"Findings of the Association for Computational Linguistics: ACL 2023, 11282-11298, 2023",https://scholar.google.com/citations?user=T4GmR6QAAAAJ&hl=en
529,Tinghui Zhu,Llm agents for education: Advances and applications,Llms assist nlp researchers: Critique paper (meta-) reviewing,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,cdvIv80AAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=cdvIv80AAAAJ&hl=en
530,Xiao Wang,Codechameleon: Personalized encryption framework for jailbreaking large language models,Secrets of rlhf in large language models part i: Ppo,Fudan University; Zhipu AI,23.0996033,113.2923509,,Haizhu District,Guangdong Province,China,sM2XqCAAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=sM2XqCAAAAAJ&hl=en
531,Ganqu Cui,"Revisiting out-of-distribution robustness in nlp: Benchmarks, analysis, and llms evaluations",Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Shanghai AI Lab,42.35092,-71.0783603,Suffolk County,Boston,Massachusetts,United States,3IVSzZgAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=3IVSzZgAAAAJ&hl=en
532,Yuhang Liu,"Mindllm: Pre-training lightweight large language model from scratch, evaluations and domain applications",Secrets of rlhf in large language models part i: Ppo,Beijing Institute of Technology,39.9578214,116.3098237,,Haidian District,Beijing,China,jANV-KcAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=jANV-KcAAAAJ&hl=en
533,Minjun Zhu,Deepreview: Improving llm-based paper review with human-like deep thinking process,Llms assist nlp researchers: Critique paper (meta-) reviewing,Westlake University,30.3359809,120.0319713,,Xihu District,Zhejiang,China,cm2ub2kAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=cm2ub2kAAAAJ&hl=en
534,Zhenfang Zhu,Knowledge-guided multi-granularity GCN for ABSA,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Shandong Jiaotong University,36.9920463,121.9298325,,Wendeng District,Shandong,China,HHJqVqEAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=HHJqVqEAAAAJ&hl=en
535,Yinhong Liu,Prompt compression for large language models: A survey,Familiarity-aware evidence compression for retrieval augmented generation,Linguistics,45.5036186,-73.5793941,Urban agglomeration of Montreal,Montreal,Quebec,Canada,fHQKF_AAAAAJ,"arXiv preprint arXiv:2409.12468, 2024",https://scholar.google.com/citations?user=fHQKF_AAAAAJ&hl=en
536,Rishi Bommasani,Holistic evaluation of language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"CS PhD, Stanford University",1.3484104,103.6829332,,Singapore,,Singapore,WMBXw1EAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=WMBXw1EAAAAJ&hl=en
537,Dr. Syed Raza Bashir,Nbias: A natural language processing framework for BIAS identification in text,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Visiting Professor at Sheridan College, Humber College, Conestoga College",40.2095852,-75.2999282,Montgomery County,Upper Gwynedd Township,Pennsylvania,United States,BjdcXvUAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=BjdcXvUAAAAJ&hl=en
538,Tao Gui （桂韬）,Efficient adversarial training with robust early-bird tickets,Plugat: A plug and play module to defend against textual adversarial attack,复旦大学,31.3011648,121.4980876,,Yangpu District,,China,BrOLQdwAAAAJ,"Proceedings of the 29th International Conference on Computational …, 2022",https://scholar.google.com/citations?user=BrOLQdwAAAAJ&hl=en
539,Ziniu Li,"Remax: A simple, effective, and efficient reinforcement learning method for aligning large language models",Secrets of rlhf in large language models part i: Ppo,"The Chinese University of Hong Kong, Shenzhen",22.6910685,114.207366,,Longgang District,Guangdong Province,China,80UnKQQAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=80UnKQQAAAAJ&hl=en
540,Changjiang Li,Improving the robustness of transformer-based large language models with dynamic attention,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,Stony Brook,40.908482,-73.1325471,Suffolk County,,New York,United States,qBBlW0gAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=qBBlW0gAAAAJ&hl=en
541,Fei Wang,Mitigating backdoor threats to large language models: Advancement and challenges,From shortcuts to triggers: Backdoor defense with denoised poe,University of Southern California,34.0218689,-118.2858579,Los Angeles County,Los Angeles,California,United States,N1O2KT8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=N1O2KT8AAAAJ&hl=en
542,Mark Huasong Meng,I can find you in seconds! leveraging large language models for code authorship attribution,Llms assist nlp researchers: Critique paper (meta-) reviewing,TUM,48.2654975,11.6692249,Landkreis München,,Bavaria,Germany,Lcjd0zwAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=Lcjd0zwAAAAJ&hl=en
543,Muhao Chen,Enhancing llm capabilities beyond scaling up,From shortcuts to triggers: Backdoor defense with denoised poe,Davis,40.7474784,-92.3965311,Davis County,,Iowa,United States,k79yEZkAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
544,David Scott Krueger,PoisonBench: Assessing Language Model Vulnerability to Poisoned Preference Data,Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,"University Assistant Professor, University of Cambridge",37.3555833,-121.931328,Santa Clara County,San Jose,California,United States,5Uz70IoAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=5Uz70IoAAAAJ&hl=en
545,Mithun Parab,A comprehensive study on LLM agent challenges,Characterizing the impacts of instances on robustness,Unknown affiliation,42.7023794,-84.4803869,Ingham County,East Lansing,Michigan,United States,CWFIqeoAAAAJ,"Findings of the Association for Computational Linguistics: ACL 2023, 2314-2332, 2023",https://scholar.google.com/citations?user=CWFIqeoAAAAJ&hl=en
546,Muhao Chen,Sudolm: Learning access control of parametric knowledge with authorization alignment,Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,k79yEZkAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
547,Zhongyu Wei (魏忠钰),DSRM: Boost textual adversarial training with distribution shift risk minimization,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,"Associate Professor at School of Data Science, Fudan University",40.190632,116.412144,,Changping District,Beijing,China,AjLDxxgAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=AjLDxxgAAAAJ&hl=en
548,Zhongyu Wei (魏忠钰),Learning implicit sentiment in aspect-based sentiment analysis with supervised contrastive pre-training,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Associate Professor at School of Data Science, Fudan University",40.190632,116.412144,,Changping District,Beijing,China,AjLDxxgAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=AjLDxxgAAAAJ&hl=en
549,David Scott Krueger,Reward model ensembles help mitigate overoptimization,Secrets of rlhf in large language models part i: Ppo,University of Cambridge,52.1890916,0.1212977,Cambridgeshire,Cambridge,England,United Kingdom,5Uz70IoAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=5Uz70IoAAAAJ&hl=en
550,He Li,Be confident: Uncovering overfitting in mllm multi-task tuning,Unraveling cross-modality knowledge conflicts in large vision-language models,Wuhan University,30.5373581,114.361517,,Hongshan District,Hubei,China,ox4kD-gAAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=ox4kD-gAAAAJ&hl=en
551,Wenpeng Yin,Enhancing llm capabilities beyond scaling up,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Penn State University,40.8025835,-77.8559383,Centre County,Ferguson Township,Pennsylvania,United States,mRg16LkAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=mRg16LkAAAAJ&hl=en
552,Xinshuo Hu,Improving attributed text generation of large language models via preference learning,Secrets of rlhf in large language models part i: Ppo,Shenzhen,22.5445741,114.0545429,,Futian District,Guangdong Province,China,Z3Cq8-4AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=Z3Cq8-4AAAAJ&hl=en
553,Yichao Feng,Unlearning backdoor attacks for llms with weak-to-strong knowledge distillation,From shortcuts to triggers: Backdoor defense with denoised poe,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,ngH-GO8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=ngH-GO8AAAAJ&hl=en
554,Shusheng Xu,Is dpo superior to ppo for llm alignment? a comprehensive study,Secrets of rlhf in large language models part i: Ppo,IIIS,41.5931298,41.6477877,,Batumi,Autonomous Republic of Adjara,Georgia,2J051LYAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=2J051LYAAAAJ&hl=en
555,Max Ku,Mantis: Interleaved multi-image instruction tuning,Muirbench: A comprehensive benchmark for robust multi-image understanding,University of Waterloo,43.4701994,-80.5452429,Region of Waterloo,Waterloo,Ontario,Canada,oCFgVhUAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=oCFgVhUAAAAJ&hl=en
556,Yuan Wu,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,"AssistantProf@Jilin University, PhD@Carleton",41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia,KVeRu2QAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=KVeRu2QAAAAJ&hl=en
557,Zhe Gan,Adversarial glue: A multi-task benchmark for robustness evaluation of language models,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Research Scientist, Apple",43.0802745,-89.4309587,Dane County,Madison,Wisconsin,United States,E64XWyMAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=E64XWyMAAAAJ&hl=en
558,Zhongzhi Li,Mv-math: Evaluating multimodal math reasoning in multi-visual contexts,Muirbench: A comprehensive benchmark for robust multi-image understanding,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China,wmaFBB8AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=wmaFBB8AAAAJ&hl=en
559,Shuai Zhao,A survey of backdoor attacks and defenses on large language models: Implications for security measures,From shortcuts to triggers: Backdoor defense with denoised poe,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,upbsFBAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=upbsFBAAAAAJ&hl=en
560,Qian Liu (刘乾),Mantis: Interleaved multi-image instruction tuning,Muirbench: A comprehensive benchmark for robust multi-image understanding,Researcher at Tiktok,22.2871479,114.2118691,,Hong Kong Island,Hong Kong,China,bcbeUo0AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=bcbeUo0AAAAJ&hl=en
561,Jiaao Chen,Simple conversational data augmentation for semi-supervised abstractive dialogue summarization,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Meta,49.1196964,6.1763552,Moselle,Metz,Grand Est,France,Pi9IVvUAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=Pi9IVvUAAAAJ&hl=en
562,Eric Michael Smith,""" I'm sorry to hear that"": Finding New Biases in Language Models with a Holistic Descriptor Dataset",Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Meta AI,43.4645022,-116.269285,Ada County,,Idaho,United States,uOK8DfQAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=uOK8DfQAAAAJ&hl=en
563,Fei Wang,From Risks to Resilience: Developing Robust and Controllable Generative AI,Monotonic paraphrasing improves generalization of language model prompting,University of Southern California,34.0218689,-118.2858579,Los Angeles County,Los Angeles,California,United States,N1O2KT8AAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 9861–9877, 2024",https://scholar.google.com/citations?user=N1O2KT8AAAAJ&hl=en
564,Jiashu Xu 徐家澍,Mitigating backdoor threats to large language models: Advancement and challenges,From shortcuts to triggers: Backdoor defense with denoised poe,NVIDIA,45.5344957,-122.886274,Washington County,Hillsboro,Oregon,United States,0uYehJsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=0uYehJsAAAAJ&hl=en
565,Zhuoma Gongque,Demonsf: A multi-task demonstration-based generative framework for noisy slot filling task,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Beijing University of Posts,39.9602269,116.3519331,,Haidian District,Beijing,China,V9H_Qx8AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=V9H_Qx8AAAAJ&hl=en
566,Xuandong Zhao,Reward shaping to mitigate reward hacking in rlhf,Secrets of rlhf in large language models part i: Ppo,UC Berkeley,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,CxeH4uoAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=CxeH4uoAAAAJ&hl=en
567,Runheng Liu,"Mindllm: Pre-training lightweight large language model from scratch, evaluations and domain applications",Secrets of rlhf in large language models part i: Ppo,Unknown affiliation,42.7023794,-84.4803869,Ingham County,East Lansing,Michigan,United States,VxsLr38AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=VxsLr38AAAAJ&hl=en
