rank,university_name,country
801-951,Brock University,Canada
801-552,Budapest University of Technology and Economics,Country_HU
801-719,Capital Normal University,China
801-371,Central University of Finance and Economics,China
801-563,Changsha University of Science & Technology,China
801-048,Chengdu University,China
801-741,Chiang Mai University,Country_TH
801-768,Cranfield University,United Kingdom
801-583,Czech Technical University in Prague,Country_CZ
801-692,Czech University of Life Sciences Prague,Country_CZ
801-935,Dongguan University of Technology,China
801-045,Edith Cowan University,Australia
801-161,Ege University,Country_TR
801-956,Federal University of Sao Carlos,Country_BR
801-956,Federal University of Vicosa,Country_BR
801-794,Guangxi Medical University,China
801-388,Guangzhou University of Chinese Medicine,China
801-678,Heilongjiang University,China
801-745,HSE University,Country_RU
801-928,Indian Institute of Technology Bombay,Country_IN
801-928,Indian Institute of Technology Kharagpur,Country_IN
801-928,Indian Institute of Technology Roorkee,Country_IN
801-624,INSA Toulouse,France
801-492,Istanbul Technical University,Country_TR
801-405,Johannes Kepler University Linz,Country_AT
801-020,Kanazawa University,Japan
801-056,King Faisal University,Country_SA
801-124,Konkuk University,Country_KR
801-689,Loughborough University,United Kingdom
801-557,Manipal Academy of Higher Education,Country_IN
801-347,Massey University,Country_NZ
801-117,Maynooth University,Country_IE
801-034,"Montana State University, Bozeman",United States
801-014,Nagasaki University,Japan
801-351,National Central University,Country_TW
801-376,National Chung Hsing University,Country_TW
801-637,National University of Colombia,Country_CO
801-923,New Jersey Institute of Technology,United States
801-870,New York University Abu Dhabi,Country_AE
801-534,North China University of Water Resources and Electric Power,China
801-797,North University of China,China
801-888,Nottingham Trent University,United Kingdom
801-041,Ohio University,United States
801-810,Old Dominion University,United States
801-998,Politecnico di Bari,Italy
801-078,Qassim University,Country_SA
801-990,Qingdao Agricultural University,China
801-669,"Royal Holloway, University of London",United Kingdom
801-706,Shahid Beheshti University of Medical Sciences,Country_IR
801-166,Shandong Normal University,China
801-333,Shanghai University of Finance and Economics,China
801-333,Shanghai University of Traditional Chinese Medicine,China
801-096,Sharif University of Technology,Country_IR
801-057,Shenyang Pharmaceutical University,China
801-624,Sichuan Agricultural University,China
801-510,Skolkovo Institute of Science and Technology,Country_RU
801-884,Syracuse University,United States
801-737,Taipei Medical University,Country_TW
801-459,The Catholic University of Korea,Country_KR
801-316,The Education University of Hong Kong,Country_HK
801-635,"The Graduate University for Advanced Studies, SOKENDAI",Japan
801-090,The Royal Veterinary College,United Kingdom
801-478,The University of Texas at El Paso,United States
801-164,Tokyo University of Science,Japan
801-482,Ulster University,United Kingdom
801-505,University of Antioquia,Country_CO
801-170,University of Cagliari,Italy
801-686,University of Crete,Country_GR
801-680,University of Cyprus,Country_CY
801-029,University of Hertfordshire,United Kingdom
801-488,University of Hull,United Kingdom
801-235,University of Jaen,Country_ES
801-664,University of Kassel,Germany
801-324,University of Lleida,Country_ES
801-810,University of Magdeburg,Germany
801-275,University of Malaga,Country_ES
801-099,University of Messina,Italy
801-541,"University of Missouri, Kansas City",United States
801-903,University of Modena and Reggio Emilia,Italy
801-200,University of Nebraska Medical Center,United States
801-624,University of Oklahoma Health Sciences Center,United States
801-826,University of Poitiers,France
801-518,University of Rhode Island,United States
801-920,University of South Africa,Country_ZA
801-313,University of the Sunshine Coast,Australia
801-661,University of Versailles Saint-Quentin-en-Yvelines,France
801-078,University of Vigo,Country_ES
801-801,"University of Wisconsin, Milwaukee",United States
801-210,University Putra Malaysia,Country_MY
801-946,University Savoie Mont Blanc,France
801-191,Ural Federal University,Country_RU
801-538,Xi'an Jiaotong-Liverpool University,China
801-426,Xi'an University of Architecture and Technology,China
801-439,Yangtze University,China
801-916,Yantai University,China
801-473,Zhejiang A&F University,China
901-158,Adam Mickiewicz University,Country_PL
901-122,Ajou University,Country_KR
901-813,Al-Imam Mohammad Ibn Saud Islamic University,Country_SA
901-409,Amherst College,United States
901-961,Anhui University of Science & Technology,China
901-725,Ataturk University,Country_TR
901-224,Auckland University of Technology,Country_NZ
901-532,Banaras Hindu University,Country_IN
901-853,Carlos III University of Madrid,Country_ES
901-526,Chengdu University of Traditional Chinese Medicine,China
901-545,China Jiliang University,China
901-586,Comenius University in Bratislava,Country_SK
901-753,Dalian Medical University,China
901-864,Dongguk University,Country_KR
901-956,Federal University of Bahia,Country_BR
901-956,Federal University of Ceara,Country_BR
901-956,Federal University of Pelotas,Country_BR
901-956,Federal University of Pernambuco,Country_BR
901-726,Free University of Bozen-Bolzano,Italy
901-833,Gansu Agricultural University,China
901-670,Gazi University,Country_TR
901-048,Gyeongsang National University,Country_KR
901-659,Hainan Medical University,China
901-240,Hamburg University of Technology,Germany
901-698,Hangzhou City University,China
901-737,Hangzhou Medical College,China
901-810,Hassan II University of Casablanca,Country_MA
901-246,Hebei Normal University,China
901-113,Henan Agricultural University,China
901-961,Henan Polytechnic University,China
901-961,Huaqiao University,China
901-155,Hunan Agricultural University,China
901-264,Iran University of Medical Sciences,Country_IR
901-124,Jaume I University,Country_ES
901-692,Jazan University,Country_SA
901-853,Jilin Agricultural University,China
901-167,Juntendo University,Japan
901-973,Kaohsiung Medical University,Country_TW
901-638,Kumamoto University,Japan
901-082,Kunming Medical University,China
901-713,Lehigh University,United States
901-281,Liaocheng University,China
901-812,Lingnan University,Country_HK
901-290,Linnaeus University,Country_SE
901-926,Loyola University Chicago,United States
901-315,Marmara University,Country_TR
901-720,Michigan Technological University,United States
901-567,Nanjing University of Finance & Economics,China
901-572,Nicolaus Copernicus University,Country_PL
901-686,Ningxia University,China
901-450,North Dakota State University,United States
901-582,Novosibirsk State University,Country_RU
901-247,Orebro University,Country_SE
901-030,Pukyong National University,Country_KR
901-039,RCSI University of Medicine and Health Sciences,Country_IE
901-595,Rio de Janeiro State University,Country_BR
901-826,Roma Tre University,Italy
901-709,"Rutgers University, Newark",United States
901-016,Shaanxi University of Science & Technology,China
901-616,Shandong University of Technology,China
901-812,Shihezi University,China
901-975,Southwest Medical University,China
901-007,Southwest University of Science and Technology,China
901-406,Taiyuan University of Science and Technology,China
901-761,The Islamia University of Bahawalpur,Country_PK
901-025,The Open University,United Kingdom
901-377,Tokushima University,Japan
901-164,Tokyo University of Agriculture and Technology,Japan
901-601,Umm Al-Qura University,Country_SA
901-447,University of Alaska Fairbanks,United States
901-519,University of Arkansas for Medical Sciences,United States
901-816,University of Beira Interior,Country_PT
901-342,University of Cadiz,Country_ES
901-524,University of Calcutta,Country_IN
901-260,University of Castilla-La Mancha,Country_ES
901-409,University of Central Lancashire,United Kingdom
901-151,University of Chieti-Pescara,Italy
901-156,University of Cordoba,Country_ES
901-938,University of Eastern Piedmont,Italy
901-668,University of Ghana,Country_GH
901-581,University of Girona,Country_ES
901-291,University of Hohenheim,Germany
901-438,University of International Business and Economics,China
901-535,University of Lahore,Country_PK
901-936,University of Las Palmas de Gran Canaria,Country_ES
901-985,University of New Brunswick,Canada
901-847,University of Patras,Country_GR
901-983,University of Picardie Jules Verne,France
901-823,University of Portsmouth,United Kingdom
901-799,University of Regina,Canada
901-465,University of Sharjah,Country_AE
901-836,University of Tennessee Health Science Center,United States
901-902,University of Windsor,Canada
901-583,University of Wuppertal,Germany
901-605,Warsaw University of Technology,Country_PL
901-739,Wroclaw University of Science and Technology,Country_PL
901-426,Xi'an University of Science and Technology,China
901-329,Yokohama City University,Japan
901-382,Zagazig University,Country_EG
901-715,Zhongnan University of Economics and Law,China
