rank,university_name,country
801-481,Central University of Finance and Economics,China
801-621,Changsha University of Science & Technology,China
801-042,Chengdu University,China
801-382,Chiang Mai University,Country_TH
801-121,Cranfield University,United Kingdom
801-802,Czech Technical University in Prague,Country_CZ
801-727,Czech University of Life Sciences Prague,Country_CZ
801-974,Dongguan University of Technology,China
801-714,Edith Cowan University,Australia
801-000,Ege University,Country_TR
801-397,Federal University of Sao Carlos,Country_BR
801-397,Federal University of Vicosa,Country_BR
801-754,Guangxi Medical University,China
801-379,Guangzhou University of Chinese Medicine,China
801-010,Heilongjiang University,China
801-842,HSE University,Country_RU
801-959,Indian Institute of Technology Bombay,Country_IN
801-959,Indian Institute of Technology Kharagpur,Country_IN
801-959,Indian Institute of Technology Roorkee,Country_IN
801-047,INSA Toulouse,France
801-593,Istanbul Technical University,Country_TR
801-477,Johannes Kepler University Linz,Country_AT
801-520,Kanazawa University,Japan
801-417,King Faisal University,Country_SA
801-882,Konkuk University,Country_KR
801-974,Loughborough University,United Kingdom
801-232,Manipal Academy of Higher Education,Country_IN
801-995,Massey University,Country_NZ
801-448,Maynooth University,Country_IE
801-242,Montana State University, Bozeman,United States
801-137,Nagasaki University,Japan
801-303,National Central University,Country_TW
801-175,National Chung Hsing University,Country_TW
801-794,National University of Colombia,Country_CO
801-303,New Jersey Institute of Technology,United States
801-498,New York University Abu Dhabi,Country_AE
801-126,North China University of Water Resources and Electric Power,China
801-377,North University of China,China
801-145,Nottingham Trent University,United Kingdom
801-938,Ohio University,United States
801-529,Old Dominion University,United States
801-467,Politecnico di Bari,Italy
801-801,Qassim University,Country_SA
801-327,Qingdao Agricultural University,China
801-471,Royal Holloway, University of London,United Kingdom
801-865,Shahid Beheshti University of Medical Sciences,Country_IR
801-859,Shandong Normal University,China
801-316,Shanghai University of Finance and Economics,China
801-316,Shanghai University of Traditional Chinese Medicine,China
801-077,Sharif University of Technology,Country_IR
801-810,Shenyang Pharmaceutical University,China
801-207,Sichuan Agricultural University,China
801-604,Skolkovo Institute of Science and Technology,Country_RU
801-230,Syracuse University,United States
801-567,Taipei Medical University,Country_TW
801-744,The Catholic University of Korea,Country_KR
801-095,The Education University of Hong Kong,Country_HK
801-192,The Graduate University for Advanced Studies, SOKENDAI,Japan
801-321,The Royal Veterinary College,United Kingdom
801-116,The University of Texas at El Paso,United States
801-395,Tokyo University of Science,Japan
801-653,Ulster University,United Kingdom
801-713,University of Antioquia,Country_CO
801-626,University of Cagliari,Italy
801-076,University of Crete,Country_GR
801-963,University of Cyprus,Country_CY
801-059,University of Hertfordshire,United Kingdom
801-938,University of Hull,United Kingdom
801-744,University of Jaen,Country_ES
801-509,University of Kassel,Germany
801-354,University of Lleida,Country_ES
801-181,University of Magdeburg,Germany
801-887,University of Malaga,Country_ES
801-221,University of Messina,Italy
801-824,University of Missouri, Kansas City,United States
801-569,University of Modena and Reggio Emilia,Italy
801-482,University of Nebraska Medical Center,United States
801-632,University of Oklahoma Health Sciences Center,United States
801-794,University of Poitiers,France
801-330,University of Rhode Island,United States
801-574,University of South Africa,Country_ZA
801-655,University of the Sunshine Coast,Australia
801-779,University of Versailles Saint-Quentin-en-Yvelines,France
801-183,University of Vigo,Country_ES
801-180,University of Wisconsin, Milwaukee,United States
801-272,University Putra Malaysia,Country_MY
801-134,University Savoie Mont Blanc,France
801-905,Ural Federal University,Country_RU
801-115,Xi'an Jiaotong-Liverpool University,China
801-849,Xi'an University of Architecture and Technology,China
801-076,Yangtze University,China
801-120,Yantai University,China
801-132,Zhejiang A&F University,China
901-090,Adam Mickiewicz University,Country_PL
901-579,Ajou University,Country_KR
901-601,Al-Imam Mohammad Ibn Saud Islamic University,Country_SA
901-325,Amherst College,United States
901-544,Anhui University of Science & Technology,China
901-621,Ataturk University,Country_TR
901-105,Auckland University of Technology,Country_NZ
901-304,Banaras Hindu University,Country_IN
901-003,Carlos III University of Madrid,Country_ES
901-404,Chengdu University of Traditional Chinese Medicine,China
901-990,China Jiliang University,China
901-914,Comenius University in Bratislava,Country_SK
901-933,Dalian Medical University,China
901-458,Dongguk University,Country_KR
901-397,Federal University of Bahia,Country_BR
901-397,Federal University of Ceara,Country_BR
901-397,Federal University of Pelotas,Country_BR
901-397,Federal University of Pernambuco,Country_BR
901-542,Free University of Bozen-Bolzano,Italy
901-228,Gansu Agricultural University,China
901-374,Gazi University,Country_TR
901-038,Gyeongsang National University,Country_KR
901-803,Hainan Medical University,China
901-782,Hamburg University of Technology,Germany
901-426,Hangzhou City University,China
901-949,Hangzhou Medical College,China
901-136,Hassan II University of Casablanca,Country_MA
901-992,Hebei Normal University,China
901-670,Henan Agricultural University,China
901-571,Henan Polytechnic University,China
901-271,Huaqiao University,China
901-152,Hunan Agricultural University,China
901-331,Iran University of Medical Sciences,Country_IR
901-000,Jaume I University,Country_ES
901-459,Jazan University,Country_SA
901-745,Jilin Agricultural University,China
901-685,Juntendo University,Japan
901-618,Kaohsiung Medical University,Country_TW
901-389,Kumamoto University,Japan
901-333,Kunming Medical University,China
901-713,Lehigh University,United States
901-768,Liaocheng University,China
901-893,Lingnan University,Country_HK
901-838,Linnaeus University,Country_SE
901-062,Loyola University Chicago,United States
901-808,Marmara University,Country_TR
901-898,Michigan Technological University,United States
901-756,Nanjing University of Finance & Economics,China
901-232,Nicolaus Copernicus University,Country_PL
901-703,Ningxia University,China
901-566,North Dakota State University,United States
901-096,Novosibirsk State University,Country_RU
901-918,Orebro University,Country_SE
901-772,Pukyong National University,Country_KR
901-489,RCSI University of Medicine and Health Sciences,Country_IE
901-209,Rio de Janeiro State University,Country_BR
901-996,Roma Tre University,Italy
901-397,Rutgers University, Newark,United States
901-284,Shaanxi University of Science & Technology,China
901-107,Shandong University of Technology,China
901-791,Shihezi University,China
901-741,Southwest Medical University,China
901-099,Southwest University of Science and Technology,China
901-203,Taiyuan University of Science and Technology,China
901-660,The Islamia University of Bahawalpur,Country_PK
901-717,The Open University,United Kingdom
901-220,Tokushima University,Japan
901-395,Tokyo University of Agriculture and Technology,Japan
901-085,Umm Al-Qura University,Country_SA
901-631,University of Alaska Fairbanks,United States
901-737,University of Arkansas for Medical Sciences,United States
901-210,University of Beira Interior,Country_PT
901-651,University of Cadiz,Country_ES
901-776,University of Calcutta,Country_IN
901-126,University of Castilla-La Mancha,Country_ES
901-105,University of Central Lancashire,United Kingdom
901-588,University of Chieti-Pescara,Italy
901-406,University of Cordoba,Country_ES
901-718,University of Eastern Piedmont,Italy
901-487,University of Ghana,Country_GH
901-961,University of Girona,Country_ES
901-114,University of Hohenheim,Germany
901-940,University of International Business and Economics,China
901-008,University of Lahore,Country_PK
901-357,University of Las Palmas de Gran Canaria,Country_ES
901-290,University of New Brunswick,Canada
901-736,University of Patras,Country_GR
901-674,University of Picardie Jules Verne,France
901-459,University of Portsmouth,United Kingdom
901-742,University of Regina,Canada
901-511,University of Sharjah,Country_AE
901-392,University of Tennessee Health Science Center,United States
901-567,University of Windsor,Canada
901-176,University of Wuppertal,Germany
901-780,Warsaw University of Technology,Country_PL
901-491,Wroclaw University of Science and Technology,Country_PL
901-849,Xi'an University of Science and Technology,China
901-505,Yokohama City University,Japan
901-770,Zagazig University,Country_EG
901-093,Zhongnan University of Economics and Law,China
